Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,
2025-08-22 13:30:00+00:00,226.4499969482422,226.7100067138672,225.86000061035156,226.1699981689453,1197365
2025-08-22 13:31:00+00:00,226.0449981689453,226.9600067138672,226.0,226.39999389648438,158444
2025-08-22 13:32:00+00:00,225.90499877929688,226.08999633789062,225.89999389648438,226.0,28450
2025-08-22 13:33:00+00:00,225.68499755859375,226.03990173339844,225.68499755859375,226.03990173339844,234737
2025-08-22 13:34:00+00:00,225.6999969482422,226.0500030517578,225.6649932861328,225.72000122070312,108591
2025-08-22 13:35:00+00:00,225.67999267578125,225.94000244140625,225.41000366210938,225.68499755859375,114959
2025-08-22 13:36:00+00:00,226.07009887695312,226.10989379882812,225.69000244140625,225.69000244140625,87609
2025-08-22 13:37:00+00:00,226.16000366210938,226.1898956298828,225.92999267578125,226.0800018310547,80352
2025-08-22 13:38:00+00:00,225.88499450683594,226.22000122070312,225.85000610351562,226.1699981689453,96446
2025-08-22 13:39:00+00:00,225.97999572753906,226.0,225.7801055908203,225.875,59238
2025-08-22 13:40:00+00:00,226.3699951171875,226.39500427246094,225.9550018310547,225.9550018310547,78377
2025-08-22 13:41:00+00:00,226.7100067138672,226.75,226.25999450683594,226.36000061035156,122246
2025-08-22 13:42:00+00:00,226.64500427246094,226.8300018310547,226.60060119628906,226.67999267578125,82958
2025-08-22 13:43:00+00:00,226.8000030517578,226.8300018310547,226.6199951171875,226.64999389648438,63333
2025-08-22 13:44:00+00:00,226.77999877929688,226.88999938964844,226.60519409179688,226.80079650878906,105887
2025-08-22 13:45:00+00:00,226.7550048828125,226.98550415039062,226.75010681152344,226.77499389648438,150141
2025-08-22 13:46:00+00:00,226.2100067138672,226.75999450683594,226.1396942138672,226.75250244140625,158579
2025-08-22 13:47:00+00:00,226.2100067138672,226.3000030517578,226.1300048828125,226.21319580078125,87713
2025-08-22 13:48:00+00:00,226.343505859375,226.4199981689453,226.19000244140625,226.2050018310547,68771
2025-08-22 13:49:00+00:00,226.25,226.3300018310547,226.16400146484375,226.3300018310547,55890
2025-08-22 13:50:00+00:00,226.11000061035156,226.32000732421875,226.0399932861328,226.2100067138672,73175
2025-08-22 13:51:00+00:00,226.16000366210938,226.22000122070312,226.02000427246094,226.11289978027344,121759
2025-08-22 13:52:00+00:00,226.30999755859375,226.30999755859375,226.12399291992188,226.13999938964844,71316
2025-08-22 13:53:00+00:00,226.33999633789062,226.4199981689453,226.30499267578125,226.3300018310547,49369
2025-08-22 13:54:00+00:00,226.27969360351562,226.4250030517578,226.17999267578125,226.35000610351562,52704
2025-08-22 13:55:00+00:00,226.22000122070312,226.3300018310547,226.22000122070312,226.26499938964844,52588
2025-08-22 13:56:00+00:00,226.25999450683594,226.47000122070312,226.25,226.25,53917
2025-08-22 13:57:00+00:00,225.86000061035156,226.2449951171875,225.82000732421875,226.2449951171875,83258
2025-08-22 13:58:00+00:00,225.79710388183594,226.1199951171875,225.77000427246094,225.86000061035156,111063
2025-08-22 13:59:00+00:00,225.97999572753906,226.02999877929688,225.7996063232422,225.7996063232422,71183
2025-08-22 14:00:00+00:00,227.7154998779297,227.95919799804688,225.97000122070312,225.97000122070312,517523
2025-08-22 14:01:00+00:00,227.8300018310547,228.19000244140625,227.60499572753906,227.7100067138672,226659
2025-08-22 14:02:00+00:00,227.6999969482422,228.16000366210938,227.66000366210938,227.85000610351562,182617
2025-08-22 14:03:00+00:00,227.81100463867188,228.0198974609375,227.6199951171875,227.69000244140625,193536
